feature,rf_importance,perm_importance_mean,perm_importance_std
wound_perimeter_px_first,0.15192826713944887,0.13267973856209156,0.025657237158680395
wound_glcm_energy_first,0.17708155943873372,0.0803921568627452,0.03094065458443037
wound_glcm_homogeneity_first,0.12113604285153894,0.07058823529411777,0.022978295204244346
wound_L_mean_first,0.12163372085105334,0.05882352941176485,0.016791153697601424
suture_zone_L_mean_first,0.10718059619408239,0.049673202614379235,0.015794831338032108
wound_glcm_entropy_first,0.1402090131103987,0.03921568627450993,0.01600973688093583
suture_zone_glcm_energy_first,0.14827227485448605,0.03267973856209162,0.019167161174660424
hyperemia_zone_area_pct_wound_first,0.03255852556025793,0.018300653594771288,0.008670914484589317
