threshold,val_dice,val_iou,val_precision,val_recall
0.5,0.7521087173690572,0.629742477500856,0.744807414137504,0.8225285756790794
0.52,0.7518360379187673,0.6292976919074339,0.748371084316311,0.8178282778059522
0.54,0.7517473508994817,0.6290788699803616,0.7519589127793115,0.8135759733203496
0.56,0.7514347685099687,0.6285919915717244,0.7553705612314231,0.8092333444565442
0.58,0.7511095149318509,0.6280895743085981,0.7588564210439813,0.8048423634186197
0.6,0.7506532646521558,0.6274318097921285,0.7623816011226634,0.8002848796762992
0.62,0.7500763067742761,0.6266235810627583,0.7657537624656072,0.7956811848954123
0.64,0.7493712221987707,0.6256749673400217,0.7691242211476014,0.7909867167410997
0.66,0.7486088307852918,0.6246635812278932,0.7725987869426019,0.7861574163828309
0.68,0.7475923438296708,0.6233702391832986,0.7760036712048355,0.7810613785733157
0.7,0.7463650132629392,0.6217898434542913,0.7794808461441751,0.7756353368243826
0.72,0.7448190998524761,0.6198424237945855,0.7828584348149259,0.7697940358858304
0.74,0.7432759265708095,0.6178900250004534,0.7864894204693401,0.7637817834657743
0.76,0.7414335424556918,0.6155505926712911,0.7900509595904541,0.7572925382408741
0.78,0.7393548885245423,0.6129304417012978,0.7938370374079222,0.7503908593194756
0.8,0.7370128468469445,0.6100308587819039,0.797457843827507,0.7432588785883578
0.82,0.7343625734998012,0.6068054160339484,0.8012282415355837,0.7356927303310173
0.84,0.7312013989328022,0.6030134977753572,0.8052460220116756,0.7272890462854222
0.86,0.7275552176482704,0.5986571698697118,0.8094707769698869,0.7182829654199563
0.88,0.7231473135613322,0.5934502177424325,0.8140569617971414,0.7080403150302709
0.9,0.7180929465862217,0.5875679584725305,0.8190518233929972,0.696564932422322
