epoch,lr,train_loss,val_loss,val_dice,val_iou,val_precision,val_recall,val_best_threshold
1,0.0003,0.614357050067635,0.6180081162601709,0.6410726308822632,0.5097641944885254,0.6636425852775574,0.7483012676239014,0.7
2,0.0003,0.45401768017840644,0.48130620643496513,0.6523301601409912,0.5191629528999329,0.5717664957046509,0.8846546411514282,0.7
3,0.0003,0.4132583734168801,0.46944380924105644,0.6812978386878967,0.5490694046020508,0.6190200448036194,0.856839120388031,0.7
4,0.0003,0.38366199084507524,0.4143949132412672,0.6902259588241577,0.5564764142036438,0.6184970140457153,0.874864399433136,0.7
5,0.0003,0.36033143359486774,0.41491384990513325,0.6982535719871521,0.5675702691078186,0.6497282385826111,0.8442379236221313,0.7
6,0.0003,0.336486646885513,0.42587703838944435,0.7056742310523987,0.5776114463806152,0.6415181756019592,0.8728519082069397,0.7
7,0.0003,0.3432379792774877,0.4316020719707012,0.687025249004364,0.5523105263710022,0.5992724299430847,0.8902216553688049,0.7
8,0.0003,0.32743099956743177,0.40720710903406143,0.6891111731529236,0.5557110905647278,0.6070078611373901,0.887660026550293,0.7
9,0.0003,0.3417178551035543,0.42565591260790825,0.7079557776451111,0.578083336353302,0.6512361168861389,0.8595247864723206,0.7
10,0.0003,0.3160106108714176,0.3631193647161126,0.7279331684112549,0.601425290107727,0.667048990726471,0.8724856972694397,0.7
11,0.0003,0.3020355967424249,0.38248329795897007,0.7330235838890076,0.6052901744842529,0.703486979007721,0.8293684720993042,0.7
12,0.0003,0.2990594474218225,0.36320377327501774,0.7249703407287598,0.5949313044548035,0.6720552444458008,0.855558454990387,0.7
13,0.0003,0.2943946393907711,0.38973234966397285,0.7166171073913574,0.5883582830429077,0.6528810262680054,0.8752554059028625,0.7
14,0.0003,0.2777475073773374,0.4137272844091058,0.7280173897743225,0.6018237471580505,0.7048238515853882,0.8217468857765198,0.65
15,0.00015,0.2704204381794058,0.463773962110281,0.7098350524902344,0.5809130072593689,0.6988376379013062,0.8056365847587585,0.7
16,0.00015,0.25202155666005227,0.39970736764371395,0.721348762512207,0.5954217314720154,0.6945260763168335,0.8341882228851318,0.7
17,0.00015,0.240988070445676,0.42368063796311617,0.7275209426879883,0.5991260409355164,0.7152212262153625,0.8197513222694397,0.65
18,0.00015,0.23059681634749135,0.4354647630825639,0.7185836434364319,0.5930304527282715,0.6745312213897705,0.8507120013237,0.7
19,0.00015,0.23241755510530165,0.39586830232292414,0.7354769706726074,0.6105301380157471,0.6865613460540771,0.8633924722671509,0.7
20,0.00015,0.22526307820632893,0.4093410698696971,0.7199024558067322,0.593763530254364,0.6655580401420593,0.8662253618240356,0.7
21,0.00015,0.21355314713011506,0.42700175289064646,0.7357767820358276,0.6105513572692871,0.7067326903343201,0.8400568962097168,0.7
22,0.00015,0.21135897910402668,0.4899858068674803,0.7321311831474304,0.6040493249893188,0.7198293805122375,0.8171830177307129,0.4
23,0.00015,0.20929278817869001,0.42117330338805914,0.7226904630661011,0.5967509746551514,0.7078427672386169,0.8202977180480957,0.7
24,0.00015,0.2113191924428427,0.42745474446564913,0.740077018737793,0.615400493144989,0.7328720688819885,0.820072591304779,0.7
25,0.00015,0.20120464890233933,0.47566630225628614,0.7374395728111267,0.6096476912498474,0.7260364294052124,0.8167518377304077,0.4
26,0.00015,0.19173403428767316,0.4386440860107541,0.7300711870193481,0.6023874878883362,0.7141472697257996,0.8205351829528809,0.65
27,0.00015,0.19484461026806985,0.45861564576625824,0.7274047136306763,0.6002146601676941,0.7033187747001648,0.8290141224861145,0.55
28,7.5e-05,0.19122899604100052,0.49072433076798916,0.739758312702179,0.6151589155197144,0.7290329337120056,0.8197415471076965,0.35
29,7.5e-05,0.1781146080102972,0.4783190041780472,0.7468224763870239,0.6225948929786682,0.7271688580513,0.8311004042625427,0.45
30,7.5e-05,0.17186672985553741,0.49605177715420723,0.7452619075775146,0.620592474937439,0.7279363870620728,0.8298529982566833,0.5
31,7.5e-05,0.17029281168855648,0.49947355687618256,0.7367668747901917,0.6097676157951355,0.7212584614753723,0.8230295181274414,0.4
32,7.5e-05,0.16659190770118468,0.5122435260564089,0.7336824536323547,0.6089192628860474,0.7233874797821045,0.8175545930862427,0.5
33,3.75e-05,0.1656941524756852,0.5118412226438522,0.7383455634117126,0.6119936108589172,0.7257580161094666,0.8228675723075867,0.4
34,3.75e-05,0.15864202300066588,0.48328489251434803,0.7403502464294434,0.6159234046936035,0.728658139705658,0.8216072916984558,0.55
35,3.75e-05,0.15541964264646654,0.4921020492911339,0.7408877015113831,0.6154721975326538,0.7201579213142395,0.8308468461036682,0.5
36,3.75e-05,0.15018092071817768,0.4930513808503747,0.7374662160873413,0.6115015745162964,0.7169933915138245,0.8285309076309204,0.6
37,1.875e-05,0.14996191578847107,0.5261598508805037,0.7430352568626404,0.6166379451751709,0.7286495566368103,0.8234264254570007,0.4
38,1.875e-05,0.1461632974365706,0.5123934363946319,0.7411872744560242,0.6146241426467896,0.72845858335495,0.81805419921875,0.55
39,1.875e-05,0.14492419081669983,0.529052572324872,0.7445568442344666,0.6189987659454346,0.7344597578048706,0.817514955997467,0.45
