threshold,postprocess_mode,val_dice,val_iou,val_precision,val_recall
0.84,none,0.7414515448223011,0.6146113767777446,0.7282228018516491,0.825281430545117
0.86,none,0.7412460011688643,0.6142678040073717,0.7330027014394722,0.8187870759650172
0.82,none,0.7412270107844082,0.614445644465342,0.7236840643259791,0.8306238521061132
0.8,none,0.7409804548813786,0.6142410287487416,0.7195842430324423,0.8354074637990594
0.88,none,0.740921329378743,0.6137381994901803,0.7387229534971987,0.8113568833102641
0.78,none,0.7407565353782348,0.6140637134491084,0.7159109381991909,0.8397794607638771
0.76,none,0.7403950827550527,0.6137130110276471,0.7124549565582667,0.843687720431856
0.9,none,0.7402488440488406,0.6127942574965005,0.7452582264562206,0.8023045214675422
0.74,none,0.739979067647188,0.6133059955725358,0.7091070710670972,0.8472497265301219
0.72,none,0.7395041459385372,0.6128339564193578,0.7060852196865703,0.8504554789690223
0.7,none,0.7390452753113863,0.6123716420926478,0.7032015798320761,0.8534956308011616
0.68,none,0.7384397801683282,0.6117388135571743,0.7002333087332122,0.8563768914060856
0.66,none,0.7378475436296426,0.6111167079908193,0.6973788186381081,0.8590732185525511
0.64,none,0.7372937689318195,0.6105133533090981,0.694659303392449,0.8617025810415387
0.62,none,0.7365365074811698,0.6096614431701287,0.6918660606270056,0.8640609560257553
0.6,none,0.7359007099507207,0.6089850608835959,0.6892580941663676,0.8664483913716514
0.58,none,0.7352473853087605,0.6082702387122151,0.6867578898948179,0.8687207431112823
0.56,none,0.7345239846625403,0.6074677981656109,0.6841888302681884,0.8708492197811828
0.54,none,0.7337500640512815,0.6066045227144986,0.6816672863706521,0.8729528795849896
0.52,none,0.7329848675220564,0.6057545077427301,0.6791231134100622,0.8750623440006575
0.5,none,0.7322425551548929,0.6049308934667192,0.6766362800837508,0.8771290314191417
0.76,largest_cc_fill_holes,0.7192557676371576,0.591778345150489,0.7175510793775588,0.7854946652989839
0.76,largest_cc,0.7191836772538125,0.5916888045261336,0.7178221167305443,0.7851956293824022
0.74,largest_cc_fill_holes,0.7190983650634588,0.591663153990918,0.7145852329639257,0.7885165889593971
0.74,largest_cc,0.7190354031559485,0.5915903658036049,0.7148157427276443,0.7882579750596397
0.72,largest_cc_fill_holes,0.7188337782290785,0.5914415216118319,0.7118606923116613,0.7911599809538359
0.72,largest_cc,0.7187753612402579,0.5913757917696334,0.7120577860356897,0.7909342192465376
0.7,largest_cc_fill_holes,0.7185781292022111,0.5912250432903323,0.7092312162619989,0.7937165504096308
