epoch,lr,train_loss,val_loss,val_dice,val_iou,val_precision,val_recall,val_best_threshold
1,0.0003,0.8320803260430694,0.8615610599517822,0.28941333293914795,0.1899568736553192,0.20464615523815155,0.760029137134552,0.7
2,0.0003,0.7420358508825302,0.7554310235110197,0.3142901360988617,0.2116551697254181,0.25018346309661865,0.716664731502533,0.7
3,0.0003,0.7150497557595372,0.6762990138747476,0.4056914150714874,0.29349175095558167,0.4190942049026489,0.667130172252655,0.7
4,0.0003,0.6863336805254221,0.6655858213251288,0.4341280460357666,0.3162502646446228,0.42081257700920105,0.6916634440422058,0.7
5,0.0003,0.6642194697633386,0.6798136613585732,0.3425937294960022,0.2369791716337204,0.2503702640533447,0.7798044085502625,0.7
6,0.0003,0.6415313612669706,0.6352456753904169,0.4525604844093323,0.3339504599571228,0.4494282603263855,0.6569633483886719,0.7
7,0.0003,0.6354094697162509,0.6801474473693154,0.32237905263900757,0.21863140165805817,0.2320026159286499,0.780129075050354,0.7
8,0.0003,0.61364253051579,0.6265691518783569,0.4287828207015991,0.3125341832637787,0.4062628448009491,0.6539719104766846,0.7
9,0.0003,0.6106001259759068,0.6143789453939958,0.3919591009616852,0.2776595652103424,0.3464528024196625,0.6933462023735046,0.7
10,0.0003,0.5933053307235241,0.5848911052400415,0.45751288533210754,0.34101971983909607,0.43956640362739563,0.6754478812217712,0.7
11,0.0003,0.5868644397705793,0.5971211980689656,0.3957488238811493,0.2855241596698761,0.3558950126171112,0.6846756339073181,0.7
12,0.0003,0.576126313302666,0.6468756578185342,0.3156677186489105,0.21704421937465668,0.22332105040550232,0.8243527412414551,0.7
13,0.0003,0.5613043513149023,0.5954148390076377,0.43773171305656433,0.3256998360157013,0.45871153473854065,0.6240818500518799,0.7
14,0.00015,0.5475127319805324,0.5552184825593774,0.44813790917396545,0.32826149463653564,0.3822151720523834,0.7355270385742188,0.7
15,0.00015,0.5328077496960759,0.5525359186259183,0.4551624357700348,0.3355214595794678,0.4080311059951782,0.69440758228302,0.7
16,0.00015,0.5316464127972722,0.5390645861625671,0.4458392262458801,0.3283887803554535,0.3616863489151001,0.771798849105835,0.7
17,0.00015,0.5339370174333453,0.5341719741171057,0.4700221121311188,0.3527929484844208,0.3991119861602783,0.7291496396064758,0.7
18,0.00015,0.5229500560089946,0.5384570929137144,0.446325421333313,0.3315106928348541,0.3888009488582611,0.7251905202865601,0.7
19,0.00015,0.526763902977109,0.5330133465203372,0.4503328800201416,0.3334413468837738,0.3743342459201813,0.7554075717926025,0.7
20,0.00015,0.520170362200588,0.5234714421358976,0.46478354930877686,0.35019657015800476,0.4129554033279419,0.7003376483917236,0.7
21,7.5e-05,0.5082770567387342,0.5382083220915361,0.439435213804245,0.3201799988746643,0.35609525442123413,0.7702382802963257,0.7
22,7.5e-05,0.5121885230764747,0.5231950310143557,0.45685791969299316,0.338531494140625,0.3813880383968353,0.7571074366569519,0.7
23,7.5e-05,0.496636513620615,0.5267279391938989,0.43459632992744446,0.32060638070106506,0.36799532175064087,0.7678607702255249,0.7
24,7.5e-05,0.5007262625731528,0.5115025260231711,0.464853972196579,0.3478187322616577,0.3902418315410614,0.7606707215309143,0.7
25,3.75e-05,0.4901197273284197,0.5210538018833507,0.4398379325866699,0.3218635022640228,0.3528597056865692,0.7689339518547058,0.7
26,3.75e-05,0.4909246964380145,0.5141458538445559,0.4444541037082672,0.3262538015842438,0.3689156770706177,0.7744752764701843,0.7
27,3.75e-05,0.4899622779339552,0.516689273444089,0.4557591378688812,0.3382623493671417,0.3948824107646942,0.757881760597229,0.7
