epoch,train_loss,train_dice,train_iou,val_loss,val_dice,val_iou,val_precision,val_recall
1,0.3736458687732617,0.2770718156049649,0.19107035213770965,0.284326259046793,0.3677490632981062,0.2701151128858328,0.600907851010561,0.391754312440753
2,0.22389901770899692,0.329595105877767,0.23747567739337683,0.1691305674612522,0.1070514211896807,0.06984658673172817,0.8373625501990318,0.08239808410871774
3,0.15805245066682497,0.3704165822515885,0.2704538606728117,0.12740113027393818,0.21372108347713947,0.14081709133461118,0.7843648716807365,0.16423588013276458
4,0.1244557340008517,0.3774667129230996,0.2786786298577984,0.11160293687134981,0.04441302435589023,0.026835809301701374,0.9319609254598618,0.028333603419014253
5,0.10743989298741023,0.3602524834374587,0.26246268923083943,0.09595690574496984,0.2776147034019232,0.19194674585014582,0.7069013863801956,0.23641413357108831
6,0.09679603669792414,0.38975663390010595,0.28787681739777327,0.09823105111718178,0.04696517701592313,0.028730079282073002,0.9382333755493164,0.029236046486194493
7,0.0889022471383214,0.4125130757068594,0.30910862299303216,0.08544444013386965,0.009597241633098061,0.005026715922365152,0.9471655339002609,0.00505405251730485
8,0.08425435222064455,0.4224176661421855,0.31686686957255006,0.09438141901046038,0.41274197585880756,0.30256079882383347,0.42350247129797935,0.6055710054934025
9,0.08411480222518246,0.4009465655932824,0.29843578580766916,0.0822505266405642,0.3491395153105259,0.2517967838793993,0.6645686626434326,0.3695544507354498
10,0.08182781989065309,0.395622953462104,0.2939033837368091,0.0780079560354352,0.2679414749145508,0.18408915121108294,0.7053163349628448,0.22944007813930511
11,0.07843951050502558,0.4174568535139163,0.31118156233181554,0.09699408896267414,0.44458356499671936,0.33235670812428,0.4400769919157028,0.6719037145376205
12,0.08017672039568424,0.3983919909223914,0.294705491202573,0.07690384658053517,0.23982537118718028,0.16619781614281237,0.7738303989171982,0.20287379273213446
13,0.07848735386505723,0.4216814028720061,0.3152424956982334,0.07184798526577652,0.3158686840906739,0.22567625157535076,0.7409701198339462,0.28306412044912577
14,0.07819449513529737,0.4087503530705969,0.3045525448396802,0.09153775498270988,0.42024388164281845,0.31353058107197285,0.4694952107965946,0.6086910888552666
15,0.0748921906730781,0.4305550927917163,0.3250881548350056,0.07476293807849288,0.26513432804495096,0.18718616454862058,0.7903569042682648,0.2243330308701843
16,0.07438382351150115,0.4367820682624976,0.331265192789336,0.0791355068795383,0.1250669807632221,0.08287690555152949,0.8984151929616928,0.09058974635263439
17,0.07651794406895836,0.41311024005214375,0.30788076886286336,0.08260716591030359,0.30247604846954346,0.2204232718795538,0.6633199378848076,0.3009715983644128
18,0.07333445494684081,0.43285810699065524,0.3260896721233924,0.0765194681007415,0.21806262014433742,0.15086343127768487,0.8066486865282059,0.17784209339879453
19,0.0716651853484412,0.43792497366666794,0.3317231675609946,0.07170481979846954,0.4996570274233818,0.3841700553894043,0.5355303473770618,0.6140423007309437
20,0.07397004247953494,0.4379690556476514,0.3271124546105663,0.08826284436509013,0.09741970876853595,0.06328134346909503,0.9219727292656898,0.06705050697725756
