n_rows,n_features,cv_splits,accuracy,balanced_accuracy,f1_macro,classes,feature_set_name
51,8,5,0.5098039215686274,0.5098039215686274,0.5148809523809524,"['fast', 'medium', 'slow']",top8
51,6,5,0.49019607843137253,0.4901960784313726,0.4968187820479841,"['fast', 'medium', 'slow']",top6
51,4,5,0.49019607843137253,0.4901960784313726,0.4916053574797208,"['fast', 'medium', 'slow']",top4
51,6,5,0.49019607843137253,0.4901960784313726,0.4886904761904762,"['fast', 'medium', 'slow']",corr_pruned_0.85
51,11,5,0.45098039215686275,0.45098039215686275,0.44635076252723316,"['fast', 'medium', 'slow']",top_visual_only_full
